115,arvindr3,586128983567106048,@ideacellular  #Ideafilmiquotient 1.fashion 2.akshay Kumar 3.Altaaf 4.\,Sajid Wajid 5 . London
116,ankitprince13,586124199338516480,@ideacellular  Right now all im doing is pressing F5 on you page &#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient ðŸ“¢ðŸ“¢ðŸ“¢&#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient ðŸ“¢ðŸ“¢ðŸ“¢
117,SANJAYRAJAK79,586123006851870720,@ideacellular  WAITING 4 IT  #IdeaFilmiQuotient
118,shah_himanshu,586118271491043328,@ideacellular  whoooooooo #IdeaFilmiQuotient
119,eramit_ranjan,586112647927468033,@ideacellular  #IdeaFilmiQuotient  A4) Sajid Wajid
120,SANJAYRAJAK79,586111294518009856,@ideacellular  READY TO ANSWER Q.4  #IdeaFilmiQuotient
121,Sagar2612,586109630847123456,@ideacellular  Eagerly Waiting for the next Question #IdeaFilmiQuotient
122,ankitsalgiya,586108902984458240,@ideacellular  &#10;Waiting to Win for the First Time with Idea&#10;#IdeaFilmiQuotient  #win  #prizes.&#10;#IdeaFilmiQuotient  #win  #prizes.
123,PrabirBhatt,586102282883735553,@ideacellular  Altaf  #IdeaFilmiQuotient
124,shikha123poddar,586100431304155136,@ideacellular  2A) AKSHAY KUMAR #IdeaFilmiQuotient
125,PrabirBhatt,586091859157450752,@ideacellular  Akshay Kumar #IdeaFilmiQuotient
126,ankitprince13,586090426773286912,@ideacellular   let&#39;s burn with the SUN.. by playing this #contest&#10;â˜…Ò‰ #IdeaFilmiQuotient â˜…Ò‰&#10;â˜…Ò‰  #IdeaFilmiQuotient â˜…Ò‰&#10;â˜…Ò‰ #IdeaFilmiQuotient â˜…
127,Shiv1102,586089546980302848,@ideacellular  Excitement bursting through the ceiling :) #IdeaFilmiQuotient
128,Shiv1102,586089463484321793,@ideacellular  All set and ready for the next question :) #IdeaFilmiQuotient
129,BeingMrGoogle,586084353559535616,@ideacellular  yesss &#10;&#10;#IdeaFilmiQuotient
130,shikha123poddar,586084258588053504,@ideacellular  #IdeaFilmiQuotient A1) Fashion
131,Shiv1102,586082753369608192,@ideacellular  Kudos Guys! For the awesome quiz! Hoping to be the CHAMP! :D #IdeaFilmiQuotient
132,arvindr3,586073349643575297,@ideacellular  #Ideafilmiquotient #Ideafilmiquotient #Ideafilmiquotient #Ideafilmiquotient #Ideafilmiquotient
133,PrabirBhatt,586072145991634944,@ideacellular  so much looking fwd as idea user :)
134,metromoghli,586071817275707392,@ideacellular  #IdeaFilmiQuotient 17
135,I_amRocky99,586070848471080960,@ideacellular  Done Boss :) #IdeaFilmiQuotient #Bollywood &#10;An Idea Can Change your Life.....!!
136,PujaDas07,586069799798603776,@ideacellular  Holding my breath\, waiting for the first question! PLEASE bring it ON :D #Bollywood #IdeaFilmiQuotient
137,rjanardhan,586068175327887360,@ideacellular  &#13;Pls gives us time to tweet upto 11:59 today. Don&#39;t revealed Answers in next tweets. Many ppl can get lucky&#13;#IdeaFilmiQuotient
138,Shiv1102,586067620262051840,@ideacellular  YES YES! Excitement in leaps and bounds :D #Bollywood #IdeaFilmiQuotient
139,metromoghli,586067558488354816,@ideacellular  yes  #excited for the first #Bollywood question on the list
140,Shiv1102,586067142216261633,@ideacellular  It&#39;s time to break keys with #Bollywood #IdeaFilmiQuotient knowledge! Test yourself here!
141,Shiv1102,586066786228895744,@ideacellular  JOIN IN guys! This is the place to be :) #Bollywood #IdeaFilmiQuotient
142,ankitprince13,586066502735896576,@ideacellular   Teammm Startttt it onnn!Not gonna miss this chance!  #IdeaFilmiQuotient
143,AtulKrIn,586066186703515648,@ideacellular  #ideafilmiquotient Simple and Easy contest loved by all
144,ankitprince13,586066073138540544,@ideacellular  guyz join  n #win awsm  #prizes #IdeaFilmiQuotient
145,ankitprince13,586065745374621696,@ideacellular  start the #contest damn exited :) #IdeaFilmiQuotient want to  #win #prizes
